Station ID,Station POI,Source,Latitude,Longitude,Status
"ISINDH20","Larkana","WU",27.56131,68.20131,"Inactive"
"ISINDH23","Mirpurkhas, WNPK","WU",25.53132,69.00132,"Inactive"
"ISINDH25","Bahria Town Karachi WU","WU",25.02999,67.31004,"Disabled"
"IMURID1","Chak Telian, Muridke","WU",31.89,74.4,"Disabled"
"ITURBA4","Teaching Hospital Turbat","WU",25.99,63.06,"Disabled"
"IKARAC33","Dolmen City","WU",24.80137,67.03137,"Disabled"
"IKARAC12","Scheme-33","WU",24.95139,67.14139,"Inactive"
"IKARAC25","Saadi Town","WU",24.9714,67.1714,"Inactive"
"IKARAC24","Malir Cantt","WU",24.94141,67.18141,"Disabled"
"IKARAC17","karachi central","WU",24.91146,67.06145,"Disabled"
"ITANDO3","Tando Allahyar","WU",25.49,68.72,"Inactive"
"IKARAC38","Karachi Airport","WU",24.91142,67.19142,"Inactive"
"IJATI2","Sujawal City","WU",24.49,68.39,"Inactive"
"101361","Mitha Tiwana","Davis",32.24981,72.10344,"Active"
"104536","Islamia University Bahawalpur","Davis",29.37837,71.7696,"Disabled"
"117090","govtgraduatecollegebhakkar","Davis",31.62864,71.07543,"Disabled"
"211337","Johar Town Lahore","Davis",31.47074,74.25364,"Active"
"128962","NUST University, Islamabad","Davis",33.64625,72.99762,"Active"
"129010","Mehria Land, Attock City","Davis",33.78241,72.37342,"Active"
"129104","Shah Allah Ditta, ISB","Davis",33.71249,72.93603,"Active"
"180025","Kot Gullah","Davis",32.90685,71.92803,"Active"
"180027","Jaranwala City","Davis",31.32974,73.42621,"Active"
"129644","Karore Village, Kotli Sattian","Davis",33.73139,73.38855,"Active"
"129727","Wahali Zer","Davis",32.75599,73.04319,"Active"
"182269","Barrier 3 Lalazar Colony, Wah","Davis",33.79315,72.72063,"Inactive"
"130584","Sir Gojra Mohala Chakwal","Davis",32.92472,72.83231,"Active"
"130787","Pindi Gheb City","Davis",33.23414,72.26358,"Active"
"194398","Jhelum City","Davis",32.93856,73.73173,"Active"
"183871","Garhi Mali Khel, Peshawar","Davis",33.91931,71.50169,"Active"
"144841","Shahbaz Garhi","Davis",34.2261257,72.1586008,"Active"
"131374","Kalabagh City","Davis",32.96016,71.54176,"Active"
"147435","WeatherWalay HQ, I-9/2 Islamabad","Davis",33.65855,73.05351,"Active"
"131643","Mansehra Shahkheil Garhi","Davis",34.35172,73.27173,"Active"
"131893","Gulraiz Car Chowk, RWP","Davis",33.57609,73.10694,"Active"
"220024","Mitha Tiwana Thal TCF","Davis",32.1931,72.08257,"Inactive"
"132393","Jalalpur Jattan","Davis",32.64687,74.21091,"Active"
"132465","PIA Housing Society, Lahore","Davis",31.45078,74.2817,"Active"
"132463","Ferozewala","Davis",31.67552,74.27082,"Active"
"206075","Gujranwala City","Davis",32.17305,74.21015,"Inactive"
"133029","Muslim Colony Mianwali","Davis",32.60267,71.546698,"Active"
"133035","Nammal University","Davis",32.68159,71.79217,"Active"
"133150","Mailsi City","Davis",29.80075,72.18578,"Active"
"133253","Burewala City","Davis",30.17553,72.68699,"Active"
"133425","Model Town Hasilpur","Davis",29.70478,72.55357,"Active"
"133509","Gulgasht, Multan city","Davis",30.23297,71.47863,"Active"
"130231","Mirpur city","Davis",33.14821,73.75625,"Active"
"134031","Bannu city","Davis",32.98594,70.60681,"Active"
"134038","Dera Ismael Khan","Davis",31.85651,70.90646,"Active"
"201736","Shaheen hotel, Fort Monroe","Davis",29.92655,69.98643,"Inactive"
"129498","Quetta Eastern Bypass","Davis",30.12623,66.99042,"Active"
"134268","Gulshan-e-Hadeed Karachi","Davis",24.87315,67.3709,"Inactive"
"134297","PIB Colony Karachi","Davis",24.89275,67.05531,"Active"
"IKARAC41","Sujrani Town PWS WU","WU",25.01523,67.03153,"Disabled"
"IISLAM21","I-10 WU","WU",33.64204,73.04,"Inactive"
"137535","Diamond Cricket Ground G-8/2","Davis",33.69887,73.04292,"Active"
"137991","Haji Abad Charsadda","Davis",34.25769,71.83488,"Inactive"
"IISLAM25","ISB","WU",33.66999,73.15286,"Disabled"
"IISLAM26","F-8 Islamabad WU","WU",33.7189,73.03832,"Inactive"
"146260","Shimshal Valley","Davis",36.43871,75.32048,"Inactive"
"146299","Chilas City","Davis",35.40947,74.1046,"Active"
"146301","Jalalabad, Gilgit","Davis",35.86757,74.48791,"Active"
"147145","Kulsoom International, Islamabad","Davis",33.71804,73.07281,"Active"
"C3","D-17, Islamabad","Misol",33.65877,72.85062,"Active"
"147425","Askari-14, Sec. A, RWP","Davis",33.54895,73.06749,"Active"
"228127","Kot Momin Toll Plaza","Misol",32.19939,73.03214,"Active"
"150067","Block E, Satellite Town","Davis",33.63709,73.0622,"Active"
"150367","Farash Town, WW","Davis",33.65295,73.20225,"Active"
"150967","City Garden, Bahawalpur","Davis",29.41214,71.70589,"Active"
"131812","Malian Kalan, Sheikhupura","Davis",31.77161,74.06763,"Active"
"129090","Gattar, Dina","Davis",32.93257,73.43073,"Active"
"129952","Gujjar Khan","Davis",33.25929,73.27139,"Active"
"142628","Chak 23, Sargodha","Davis",31.996318,72.819813,"Inactive"
"139347","Chitti Shiekhan, Sialkot","Davis",32.53331,74.48573,"Active"
"133500","Kot Agha Jajjah, Pasrur","Davis",32.10749,74.55967,"Active"
"217831","Saima Arabian Villas, Surjani, Karachi","Davis",25.00942,67.03724,"Active"
"216612","Chakri Toll Plaza","Davis",33.30822,72.78097,"Active"
"221544","Balkasar Toll Plaza","Davis",32.93868,72.68034,"Active"
"221563","Islamabad toll plaza","Davis",33.58109,72.87542,"Active"
"221555","Neela Dullah Toll Plaza","Davis",33.16684,72.65411,"Active"
"221695","Kallar Kahar Toll Plaza","Davis",32.78125,72.7099,"Active"
"221726","Bhera Toll Plaza","Davis",32.46142,72.87684,"Active"
"221703","Lillah Toll Plaza","Davis",32.576726,72.799186,"Active"
"221746","Salam Toll Plaza","Davis",32.31429,73.02005,"Active"
"221873","Ravi Toll Plaza","Davis",31.55807,74.24122,"Active"
"221910","Khanqa Dograh Toll Plaza","Davis",31.86768,73.66691,"Active"
"221938","Pindi Bhattian Toll Plaza","Davis",31.92842,73.28481,"Active"
"232286","OGDCL, Islamabad","Davis",33.72321,73.07973,"Active"
"232277","Tarnab","Davis",34.22253,71.683189,"Active"
"232279","Sardaryab","Davis",34.133114,71.693062,"Active"
"232280","Nowshera Kalan","Davis",34.018275,71.969589,"Active"
"232281","Manki Sharif","Davis",33.939663,71.979568,"Active"
"234197","Islamabad Club","Davis",33.705661,73.09458,"Active"
"232282","Rescue 1122, Shedu","Davis",33.98281,72.17655,"Active"
"232283","TLT, F-11, Islamabad","Davis",33.68453,72.98793,"Active"
